date,ridership Barrie AURORA GO,total_train_trips Barrie AURORA GO
2021-12-31,105,6
2022-01-01,96,9
2022-01-02,124,9
2022-01-03,111,9
2022-01-04,80,6
2022-01-05,76,6
2022-01-06,69,6
2022-01-07,75,6
2022-01-08,93,9
2022-01-09,82,9
2022-01-10,65,7
2022-01-11,61,7
2022-01-12,63,7
2022-01-13,69,7
2022-01-14,118,7
2022-01-15,74,9
2022-01-16,77,9
2022-01-17,45,6
2022-01-18,79,7
2022-01-19,80,7
2022-01-20,79,7
2022-01-21,111,7
2022-01-24,76,7
2022-01-25,82,7
2022-01-26,93,7
2022-01-27,107,7
2022-01-28,113,7
2022-01-31,107,7
2022-02-01,142,7
2022-02-02,99,7
2022-02-03,127,7
2022-02-04,183,7
2022-02-07,134,7
2022-02-08,117,7
2022-02-09,132,7
2022-02-10,189,7
2022-02-11,179,7
2022-02-14,184,7
2022-02-15,174,7
2022-02-16,158,7
2022-02-17,190,7
2022-02-18,221,7
2022-02-22,168,7
2022-02-23,232,7
2022-02-24,204,7
2022-02-25,213,7
2022-02-28,228,7
2022-03-01,225,7
2022-03-02,261,7
2022-03-03,246,7
2022-03-04,272,7
2022-03-07,225,7
2022-03-08,276,7
2022-03-09,303,7
2022-03-10,283,7
2022-03-11,339,7
2022-03-14,334,7
2022-03-15,313,7
2022-03-16,362,7
2022-03-17,539,7
2022-03-18,463,7
2022-03-21,251,7
2022-03-22,296,7
2022-03-23,267,7
2022-03-24,298,7
2022-03-25,332,7
2022-03-28,231,7
2022-03-29,260,7
2022-03-30,237,7
2022-03-31,306,7
2022-04-01,287,7
2022-04-04,200,6
2022-04-05,262,6
2022-04-06,283,6
2022-04-07,268,6
2022-04-08,358,6
2022-04-11,204,6
2022-04-12,254,6
2022-04-13,236,6
2022-04-14,306,6
2022-04-18,241,6
2022-04-19,211,6
2022-04-20,239,6
2022-04-21,193,6
2022-04-22,269,6
2022-04-25,180,6
2022-04-26,252,6
2022-04-27,222,6
2022-04-28,385,6
2022-04-29,371,6
2022-05-02,208,6
2022-05-03,240,6
2022-05-04,277,6
2022-05-05,256,6
2022-05-06,340,6
2022-05-09,245,6
2022-05-10,254,6
2022-05-11,252,6
2022-05-12,257,6
2022-05-13,318,6
2022-05-16,215,6
2022-05-17,240,6
2022-05-18,274,6
2022-05-19,267,6
2022-05-20,361,6
2022-05-21,472,9
2022-05-22,512,9
2022-05-23,339,9
2022-05-24,221,6
2022-05-25,232,6
2022-05-26,237,6
2022-05-27,260,6
2022-05-28,495,9
2022-05-29,357,9
2022-05-30,194,6
2022-05-31,205,6
2022-06-01,256,6
2022-06-02,358,6
2022-06-03,326,6
2022-06-06,210,6
2022-06-07,235,6
2022-06-08,259,6
2022-06-09,270,6
2022-06-10,307,6
2022-06-11,679,9
2022-06-12,400,9
2022-06-13,261,6
2022-06-14,248,6
2022-06-15,295,6
2022-06-16,316,5
2022-06-17,421,6
2022-06-18,757,8
2022-06-19,647,9
2022-06-20,263,6
2022-06-21,251,5
2022-06-22,263,5
2022-06-23,312,6
2022-06-24,409,6
2022-06-25,811,9
2022-06-26,622,9
2022-06-27,356,6
2022-06-28,332,6
2022-06-29,396,6
2022-06-30,408,6
2022-07-01,670,8
2022-07-02,980,9
2022-07-03,629,9
2022-07-04,287,6
2022-07-05,265,6
2022-07-06,316,6
2022-07-07,292,6
2022-07-08,472,6
2022-07-09,793,9
2022-07-10,504,9
2022-07-11,261,6
2022-07-12,284,5
2022-07-13,313,6
2022-07-14,352,6
2022-07-15,430,6
2022-07-16,767,8
2022-07-17,733,9
2022-07-18,188,5
2022-07-19,219,5
2022-07-20,325,6
2022-07-21,313,6
2022-07-22,307,5
2022-07-23,734,7
2022-07-24,403,9
2022-07-25,281,6
2022-07-26,305,5
2022-07-27,444,6
2022-07-28,270,5
2022-07-29,456,6
2022-07-30,1066,9
2022-07-31,997,9
2022-08-01,407,9
2022-08-02,323,6
2022-08-03,348,6
2022-08-04,322,6
2022-08-05,405,6
2022-08-06,806,9
2022-08-07,461,9
2022-08-08,378,6
2022-08-09,289,6
2022-08-10,374,6
2022-08-11,344,6
2022-08-12,495,6
2022-08-13,844,5
2022-08-14,583,5
2022-08-15,374,6
2022-08-16,409,6
2022-08-17,520,6
2022-08-18,318,6
2022-08-19,470,6
2022-08-20,642,5
2022-08-21,567,5
2022-08-22,219,5
2022-08-23,414,6
2022-08-24,461,6
2022-08-25,424,6
2022-08-26,647,6
2022-08-27,1031,5
2022-08-28,848,4
2022-08-29,414,6
2022-08-30,361,7
2022-08-31,596,6
2022-09-01,528,6
2022-09-02,576,6
2022-09-03,505,4
2022-09-04,600,5
2022-09-05,450,5
2022-09-06,521,6
2022-09-07,480,6
2022-09-08,513,6
2022-09-09,536,6
2022-09-12,481,6
2022-09-13,580,6
2022-09-14,474,6
2022-09-15,576,6
2022-09-16,505,6
2022-09-17,538,3
2022-09-18,409,4
2022-09-19,423,6
2022-09-20,517,6
2022-09-21,472,6
2022-09-22,536,6
2022-09-23,574,6
2022-09-24,631,9
2022-09-25,363,9
2022-09-26,416,6
2022-09-27,434,4
2022-09-28,515,6
2022-09-29,479,6
2022-09-30,487,5
2022-10-01,678,5
2022-10-02,565,5
2022-10-03,405,6
2022-10-04,444,6
2022-10-05,420,6
2022-10-06,495,6
2022-10-07,642,6
2022-10-08,552,4
2022-10-09,287,4
2022-10-10,318,5
2022-10-11,397,6
2022-10-12,386,6
2022-10-13,355,6
2022-10-14,380,6
2022-10-15,659,8
2022-10-16,384,7
2022-10-17,432,6
2022-10-18,469,6
2022-10-19,387,5
2022-10-20,469,6
2022-10-21,468,6
2022-10-22,637,9
2022-10-23,462,9
2022-10-24,295,5
2022-10-25,459,6
2022-10-26,479,6
2022-10-27,479,6
2022-10-28,581,6
2022-10-29,1170,15
2022-10-30,720,15
2022-10-31,377,6
2022-11-01,440,6
2022-11-02,539,6
2022-11-03,457,6
