date,ridership Milton UNION STATION PM Peak,total_train_trips Milton UNION STATION PM Peak
2022-05-18,2103,4
2022-05-19,1905,4
2022-05-20,959,4
2022-05-24,2004,4
2022-05-25,2168,4
2022-05-26,2018,4
2022-05-27,1174,4
2022-05-30,1762,4
2022-05-31,2289,4
2022-06-01,2250,4
2022-06-02,2037,4
2022-06-03,1193,4
2022-06-06,1673,4
2022-06-07,2167,4
2022-06-08,2457,4
2022-06-09,2236,4
2022-06-10,1259,4
2022-06-13,1903,4
2022-06-14,2490,4
2022-06-15,2558,4
2022-06-16,1720,4
2022-06-17,1292,4
2022-06-20,1872,4
2022-06-21,2565,4
2022-06-22,2543,4
2022-06-23,2324,4
2022-06-24,1230,4
2022-06-27,1892,4
2022-06-28,2564,4
2022-06-29,2348,4
2022-06-30,1465,4
2022-07-04,1560,4
2022-07-05,2239,4
2022-07-06,2356,4
2022-07-07,2057,4
2022-07-08,1215,4
2022-07-11,1847,4
2022-07-12,2427,4
2022-07-13,2387,4
2022-07-14,2123,4
2022-07-15,1088,4
2022-07-18,1740,4
2022-07-19,2423,4
2022-07-20,2391,4
2022-07-21,2159,4
2022-07-22,1104,4
2022-07-25,1758,4
2022-07-26,2361,4
2022-07-27,2359,4
2022-07-28,1985,4
2022-07-29,968,4
2022-08-02,2111,4
2022-08-03,2235,4
2022-08-04,2040,4
2022-08-05,1048,4
2022-08-08,1744,4
2022-08-09,2398,4
2022-08-10,2563,4
2022-08-11,2012,4
2022-08-12,840,4
2022-08-15,1797,4
2022-08-16,2476,4
2022-08-17,2466,4
2022-08-18,2145,4
2022-08-19,1159,3
2022-08-22,1692,4
2022-08-23,2451,4
2022-08-24,2473,4
2022-08-25,2177,4
2022-08-26,1126,4
2022-08-29,1801,4
2022-08-30,2257,4
2022-08-31,2253,4
2022-09-01,1960,4
2022-09-02,932,4
2022-09-06,2459,4
2022-09-07,2835,4
2022-09-08,2757,4
2022-09-09,1632,4
2022-09-12,2389,4
2022-09-13,3287,4
2022-09-14,3180,4
2022-09-15,3017,4
2022-09-16,1612,4
2022-09-19,2262,4
2022-09-20,3353,4
2022-09-21,3250,4
2022-09-22,3004,4
2022-09-23,1597,4
2022-09-26,2336,4
2022-09-27,3238,4
2022-09-28,3149,4
2022-09-29,2833,4
2022-09-30,1280,4
2022-10-03,2422,4
2022-10-04,3381,4
2022-10-05,3336,4
2022-10-06,2984,4
2022-10-07,1372,4
2022-10-11,2957,4
2022-10-12,3182,4
2022-10-13,2839,4
2022-10-14,1451,4
2022-10-17,2462,5
2022-10-18,3425,5
2022-10-19,3369,5
2022-10-20,2982,5
2022-10-21,1589,5
2022-10-24,2200,5
2022-10-25,3363,5
2022-10-26,3319,5
2022-10-27,3073,5
2022-10-28,1601,5
2022-10-31,2315,5
2022-11-01,3362,5
2022-11-02,3664,5
2022-11-03,3057,5
2022-11-04,1536,5
2022-11-07,2251,5
2022-11-08,3520,5
2022-11-09,3369,5
2022-11-10,2910,5
2022-11-11,1248,5
2022-11-14,2378,5
