date,ridership Barrie UNION STATION PM Peak,total_train_trips Barrie UNION STATION PM Peak
2022-06-29,1840,4
2022-06-30,1263,4
2022-07-04,1190,4
2022-07-05,1695,4
2022-07-06,1779,4
2022-07-07,1631,4
2022-07-08,1003,4
2022-07-11,1423,4
2022-07-12,1882,4
2022-07-13,1871,4
2022-07-14,1663,4
2022-07-15,911,4
2022-07-18,1261,4
2022-07-19,1871,4
2022-07-20,1822,4
2022-07-21,1697,4
2022-07-22,809,3
2022-07-25,1330,4
2022-07-26,1765,4
2022-07-27,1816,4
2022-07-28,1604,4
2022-07-29,935,4
2022-08-02,1651,4
2022-08-03,1789,4
2022-08-04,1577,4
2022-08-05,875,4
2022-08-08,1311,4
2022-08-09,1826,4
2022-08-10,1883,4
2022-08-11,1545,4
2022-08-12,895,4
2022-08-15,1385,4
2022-08-16,1884,4
2022-08-17,1867,4
2022-08-18,1690,4
2022-08-19,974,4
2022-08-22,1263,4
2022-08-23,1859,4
2022-08-24,1779,4
2022-08-25,1697,4
2022-08-26,1010,4
2022-08-29,1339,4
2022-08-30,1721,4
2022-08-31,1841,4
2022-09-01,1568,4
2022-09-02,895,4
2022-09-06,2035,4
2022-09-07,2068,4
2022-09-08,2166,4
2022-09-09,1271,4
2022-09-12,1899,4
2022-09-13,2573,4
2022-09-14,2452,4
2022-09-15,2309,4
2022-09-16,1280,4
2022-09-19,1815,4
2022-09-20,2596,4
2022-09-21,2444,4
2022-09-22,2275,4
2022-09-23,1298,4
2022-09-26,1878,4
2022-09-27,2421,4
2022-09-28,2550,4
2022-09-29,2236,4
2022-09-30,1112,4
2022-10-03,1906,4
2022-10-04,2592,4
2022-10-05,2494,4
2022-10-06,2314,4
2022-10-07,1287,4
2022-10-11,2260,5
2022-10-12,2425,5
2022-10-13,2193,5
2022-10-14,1168,5
2022-10-17,1898,5
2022-10-18,2693,5
2022-10-19,2565,5
2022-10-20,2341,5
2022-10-21,1290,5
2022-10-24,1834,5
2022-10-25,2607,5
2022-10-26,2599,5
2022-10-27,2353,5
2022-10-28,1270,5
2022-10-31,1741,5
2022-11-01,2642,5
2022-11-02,2798,5
2022-11-03,2414,5
2022-11-04,1308,5
2022-11-07,1792,5
2022-11-08,2529,5
2022-11-09,2512,5
2022-11-10,2196,5
2022-11-11,966,5
2022-11-14,1940,5
2022-11-15,2626,5
2022-11-16,2446,5
2022-11-17,2289,5
2022-11-18,1200,5
2022-11-21,1857,5
2022-11-22,2701,5
2022-11-23,2593,5
2022-11-24,2182,5
2022-11-25,1186,5
2022-11-28,1913,5
2022-11-29,2630,5
2022-11-30,2514,5
2022-12-01,2354,5
2022-12-02,1269,5
2022-12-05,1858,5
2022-12-06,2478,5
2022-12-07,2453,5
2022-12-08,2194,5
2022-12-09,1160,5
2022-12-12,1739,5
2022-12-13,2406,5
2022-12-14,2418,5
2022-12-15,1224,4
2022-12-16,964,4
2022-12-19,1490,5
2022-12-20,1866,5
2022-12-21,1650,5
2022-12-22,1287,5
2022-12-23,438,4
2022-12-28,579,5
2022-12-29,586,5
2022-12-30,440,5
